sku,promo,inicio,fin,semanas,descuento,descuento_equilibrio,vende_bajo_costo,unidades_promo,unidades_reales,unidades_baseline,unidades_incrementales,uplift_obs_pct,uplift_req_pct,cobertura,margen_incremental,ganancia_por_volumen,costo_del_descuento,share_promo_en_ventana
Antitranspirante 150 ml C,Combo Verano 2,2026-03-02,2026-05-10,10,0.161,0.231,False,8122,8122,4202,3920,93.3,135.2,0.69,-24643,55089,79868,1.0
Antitranspirante 150 ml C,Combo Verano Antitranspirante,2025-03-03,2025-04-27,8,0.152,0.231,False,5994,5994,3472,2522,72.6,113.9,0.64,-18961,33752,52941,1.0
Antitranspirante 150 ml C,Combo Quincena,2025-08-04,2025-08-31,4,0.202,0.231,False,4396,4396,2163,2233,103.2,177.9,0.58,-21998,29887,51510,1.0
Desodorante 150 ml A,Combo Verano Desodorante,2025-03-03,2025-04-27,8,0.152,0.18,False,11359,11359,6365,4994,78.5,150.2,0.52,-45183,49534,94834,1.0
Desodorante 150 ml A,Combo Verano Desodorante 2,2026-03-02,2026-05-10,10,0.172,0.18,False,14243,14243,7387,6856,92.8,183.8,0.51,-69889,71393,141371,1.0
Antitranspirante 150 ml C,Combo Cierre Trimestre,2026-09-14,2026-10-11,4,0.22,0.231,False,3306,3306,1761,1545,87.8,179.3,0.49,-23578,22587,46145,1.0
Shampoo Rizos 135 ml,Combo Cabello Sano,2025-11-17,2025-12-21,5,0.152,0.213,False,6996,6996,5039,1957,38.8,99.1,0.39,-12567,8113,20700,1.0
Shampoo Rizos 135 ml,Combo Cabello 3,2026-08-03,2026-09-13,6,0.102,0.213,False,6643,6643,5673,970,17.1,55.9,0.31,-9548,4220,13809,1.0
Shampoo Rizos 135 ml,Combo Regreso a Clases Cabello,2025-02-10,2025-03-23,6,0.122,0.213,False,8126,8126,6715,1411,21.0,69.2,0.3,-13355,5848,19264,1.0
Shampoo 135 ml Azul,Combo Azul Otoño,2026-04-06,2026-05-03,4,0.111,0.206,False,3532,3532,3091,441,14.3,61.6,0.23,-5752,1729,7463,1.0
Shampoo 180ml Verde,Combo Verde 2,2026-05-11,2026-06-14,5,0.122,0.18,False,1463,1463,1248,215,17.2,79.3,0.22,-2356,657,3027,1.0
Cubito de pollo c/50,Combo Relámpago Cubito,2026-01-26,2026-02-15,3,0.182,0.194,False,3785,3785,3021,764,25.3,118.1,0.21,-111449,30579,142756,1.0
Cubito de pollo c/50,Combo Año Nuevo Caldos,2025-01-20,2025-02-16,4,0.142,0.194,False,4573,4573,4104,469,11.4,81.6,0.14,-108635,17691,126458,1.0
Shampoo 180ml Verde,Combo Verde Chico,2025-06-30,2025-07-27,4,0.141,0.18,False,1208,1208,1088,120,11.0,86.9,0.13,-2423,346,2729,1.0
Cubito de pollo c/50,Combo Invierno 2,2026-07-06,2026-08-09,5,0.122,0.194,False,2766,2766,2552,214,8.4,68.4,0.12,-61415,8559,69785,1.0
Shampoo 135 ml Azul,Combo Azul Primavera,2025-04-21,2025-05-25,5,0.131,0.206,False,3979,3979,3869,110,2.9,65.5,0.04,-9567,433,9935,1.0
Cubito de pollo c/50,Combo Temporada Fría,2025-05-26,2025-07-06,6,0.1,0.194,False,3300,3300,3230,70,2.2,53.0,0.04,-61816,2648,64630,1.0
Desodorante 150 ml A,Combo Quincena Desodorante,2025-08-04,2025-08-31,4,0.201,0.18,True,7738,7738,4155,3583,86.2,inf,0.0,-49934,35538,85466,1.0
Desodorante 150 ml A,Combo Cierre Trimestre Desodorante,2026-09-14,2026-10-11,4,0.211,0.18,True,7277,7277,3185,4092,128.4,inf,0.0,-46172,42610,88769,1.0
